No,Creator,Language,Question,Answer,Question_JP,Answer_JP,Note,Sheet,Unnamed: 7
1,Chien,VI,Công ty của bạn có kinh nghiệm làm offshore không?,"Vâng, chúng tôi có nhiều năm kinh nghiệm trong việc cung cấp dịch vụ offshore cho khách hàng trên toàn cầu",貴社はオフショアの経験がありますか？,はい、当社は世界中の顧客にオフショアのサービスを提供する長年の経験があります。,,Câu hỏi và câu trả lời,
2,Hiển,EN,What services does MOR Software provide?,"MOR Software particularly specializes in providing customers with excellent services in IT and technology field, including: 
Outsourcing services        
- Website & System Development
- Mobile Development
- Web App Development
- Custom Software Development
- QC & Testing Services

Salesforce Development Services
- Salesforce Consulting
- Salesforce Development
- Salesforce Maintenance
- Salesforce Data Migration
- Salesforce Integration
- Salesforce Management
- Salesforce Implementation & Administration 

AI Development services
- Computer Vision
- Natural language processing (NLP)
- Generative Pre-trained Transformer
- Custom AI Solutions

Blockchain services
- Blockchain Development and Implementation
- Decentralized Application (dApp) Development
- Tokenization and Cryptocurrency Solutions
- Maintenance and Support

IoT Development Services
- Healthcare IoT
- Smart Agriculture IoT
- Cold Chain Monitoring
- Fleet Management IoT
- Smart Manufacturing IoT
- Retail Smart Shelves

QA services
Test Strategy Consulting
Test Design and Test Case Creation
Test Execution: Manual, Automated, Performance, Usability 
Compatibility Testing

Offshore Development Center
- Project-based Development
- Dedicated Team

- AI Development services

Migration services
- Cloud migration
- Database Migration
- Legacy Migration
- Platform Modernization

Which services would you like to search for more details on?",モアソフトウェアはどのサービスを提供しますか？,"MOR Softwareは特にITおよびテクノロジー分野で次のような優れたサービスを顧客に提供します。
アウトソーシングサービス
- ウェブサイトの開発
- モバイルの開発
- ウェブアプリの開発
- カスタムソフトウェアの開発
- QCおよびテストサービス
Salesforce開発
- Salesforceのコンサルティング
- Salesforceの開発
- Salesforceのメンテナンス
- Salesforceのマイグレーション
- Salesforceの管理
オフショア開発
- プロジェクトベースの開発
- 専任のプロジェクトチーム

更に、当社は次のような最新テクノロジー ソフトウェアのコンサルティングおよび開発サービスを提供します。
- AI応用研究・AIシステム開発
- ブロックチェーン・ビットコインの開発・稼働
- クラウドコンピューティングソリューション
- OutSystems開発サービス
- IoT開発・デジタル変革
",,Câu hỏi và câu trả lời,
3,Hiển,EN,Why should work with MOR Software?,"As one of the Top 10 ICT in Vietnam, we confidently bring your software ideas to life by leveraging technologies. We'll be your trusted partners for the following reasons:

Long-term partnership
At MOR Software, we take pride in turning our clients' dreams into reality. By fostering strong, long-term relationships and working collaboratively with our clients, we provide customized solutions that meet their unique needs. Our commitment to excellence has earned us the trust and loyalty of many clients who have partnered with us from the early stages of their projects and continue to do so.

Trusted by big corporations
Supporting successful billions of dong projects, we know there is more to a successful product than technology. We know how to produce scalable and high-quality products as well as consult technology solutions with a business mindset. We have many success stories with the Top 50 Forbes in Vietnam, top banks in Vietnam as well as listed companies.

Ensured quality & Fast delivery
At MOR Software, we leverage the advantages offered by the Vietnamese government, such as tax incentives, political stability, and a focus on education and training in the IT field, to deliver cost-effective and impactful solutions to our clients. Our team always keeps your business goals in mind and works diligently to save you costs while delivering the highest quality services.
",MOR Softwareと連携する必要があるのはなぜですか?,"ベトナムのICTトップ10の1つとして、当社はテクノロジーを活用してお客様のソフトウェアアイデアを実現する自信を持っています。 当社は次の理由より、お客様の信頼できるパートナーとなります。

長期的なパートナーシップ
MOR Softwareでは、お客様の夢を現実にすることに誇りを持っています。強力で長期的な関係を育み、クライアントとの協力で、クライアント固有のニーズを満たすカスタマイズされたソリューションを提供します。卓越性を追求する当社の取り組みにより、プロジェクトの初期段階から当社と提携し、今後も提携を続ける多くのクライアントからの信頼と忠誠心を獲得しています。

大手企業からの信頼が厚い
数十億ドンのプロジェクトをサポートしてきた当社は、製品の成功にはテクノロジー以上のものがあることを承知しました。当社は、スケーラブルで高品質な製品を生産する方法を知っているだけでなく、ビジネスの考え方を備えたテクノロジー ソリューションのコンサルティングも行っています。当社は、ベトナムのフォーブス誌トップ50、ベトナムのトップ銀行、上場企業との多くの成功事例を持っています。

確実な品質・短納期
MOR Softwareでは、税制上の優遇措置、政治的安定、IT 分野の教育とトレーニングへの注力など、ベトナム政府が提供する利点を活用して、費用対効果が高く効果的なソリューションをクライアントに提供しています。当社は常にお客様のビジネス目標を念頭に置き、最高品質のサービスを提供しながらコストを削減するために熱心に取り組んでいます。",,Câu hỏi và câu trả lời,
4,Hiển,EN,"Why should we choose MOR’s service? 
What are special about MOR Software?","More than a working software
With our cutting-edge tech know-how, we will not only help you build a scalable and high-quality product but also realize your dreams. Our pleasure is companioning with you in contributing to a better world with technology.

Solution consultant with a business mindset
We know there is more to a successful product than technology, so we always look at your product from a business standpoint. Our software engineers take into account the cost-effectiveness and business impact when taking care of your project.

Certified developer talents
Our software engineers passed 150+ international certificates from the hottest IT skills: AWS Cloud, Salesforce, Mulesoft, Professional Scrum Master, Project Management Professional, and ISTQB.

Great quality software product (trusted by ISTQB)
As ISTQB platinum partner, we take pride in the quality of our code and we believe in software craftsmanship. We make sure the final solution is maintainable and working software that brings real value. We love what we do and clients feel it.

Self-organized team
Your time is valued and your business goals are our goals. Thus, our team is well-organized, works efficiently, and has a quick decision-making process based on trust and ownership. We regularly take an active role in getting to know your input, addressing your concerns, and providing tailored solutions. You'll get your free hand to focus on bussiness operation and growth.

Security in good hands
We build security into every software and strictly follow ISO/IEC 27001 - International standard for Information security management systems. Thus, none of our work has ever been leaked or hacked. The integrity and confidentiality of your data and the security of the infrastructure is our priority.

Agile software development (83 PSM I)
We understand that only true cooperation will result in satisfying your needs. In software development, we follow agile methodologies – short 2-week sprints, clear deliverables, transparent communication, and visible progress. We have 83 software engineers getting the Professional Scrum master I certificate.

Support of DevOps & QA
Our DevOps experts work from the start to streamline and automate software development and IT operations, improving the systems development life cycle. Parallel, our QA team creates use cases, tests scenarios, and performs various types of software testing to deliver high-quality products as quickly as possible.","MORのサービスを選んで利用する理由は何ですか？ 
MOR Softwareの特別な点は何ですか？","動作するソフトウェア以上のもの
最先端の技術ノウハウにより、拡張性があり高品質な製品を構築するだけでなく、夢の実現もお手伝いします。 私たちの喜びは、テクノロジーでより良い世界に貢献することにあなたと一緒になれることです

ビジネスマインドを備えたソリューションコンサルタント
私たちは、製品の成功にはテクノロジー以上のものがあることを知っているため、常にビジネスの観点から製品を検討しています。 当社のソフトウェア エンジニアは、お客様のプロジェクトを担当する際に、費用対効果とビジネスへの影響を考慮します。

開発者の才能の認定
当社のソフトウェアエンジニアは、AWS クラウド、Salesforce、Mulesoft、Professional Scrum Master、Project Management Professional、ISTQB といった最新の IT スキルを150 以上の国際認定資格を持っています。

優れた品質のソフトウェア製品 (ISTQB によって信頼されています)
ISTQB プラチナ パートナーとして、私たちはコードの品質に誇りを持っており、ソフトウェアの職人技を信じています。 私たちは、最終的なソリューションが保守可能で、真の価値をもたらす実際に動作するソフトウェアであることを確認します。 私たちは自分たちのやっていることを愛しており、クライアントもそれを感じていただいています。

自己組織化されたチーム
あなたの時間は大切であり、あなたのビジネス目標は私たちの目標です。したがって、当社はチームがよく組織され、効率的に働き、信頼とオーナーシップに基づいた迅速な意思決定プロセスを実現します。当社は定期的にお客様の意見を把握し、お客様の懸念に対処し、カスタマイズされたソリューションを提供するために積極的な役割を果たします。空いた時間をビジネスの運営と成長に集中できるようになります。

しっかりセキュリティ管理
当社はすべてのソフトウェアにセキュリティを組み込んでおり、情報セキュリティ管理システムの国際規格であるISO/IEC 27001に厳密に従っています。 したがって、私たちの作品は漏洩したりハッキングされたりしたことはありません。 お客様のデータの完全性と機密性、およびインフラストラクチャのセキュリティが当社の優先事項です。

Agileソフトウェア開発（83 PSM I）
私たちは、真の協力のみがお客様のニーズを満たすことができることを理解しています。ソフトウェア開発では、2 週間の短いスプリント、明確な成果物、透明性のあるコミュニケーション、目に見える進捗状況など、というアジャイル方法に従います。当社にはProfessional Scrum master I資格を持っている開発者は83名がいます。

DevOps・QAのサポート
当社の DevOps 専門家は、ソフトウェア開発と IT 運用の合理化と自動化に最初から取り組み、システム開発ライフサイクルを改善します。並行にして、当社のQA チームは、ユースケース・シナリオテストを作成し、色々なソフトウェアテストを実行して、高品質の製品をできるだけ早く提供します。",,Câu hỏi và câu trả lời,
5,Hiển,EN,"What is the working procedure at MOR Software? 
How can I start working with MOR Software? 
What are the steps when working with MOR? ","Here are 7 main stages that we strictly follow when we start working with our customers:
1. Sign NDA
2. Make inquiries and clarify requirements
3. Consult and estimate
4. Make a contract
5. Kick-off project
6. Deliver outcomes
7. Maintain
","MOR Softwareの作業手順はどのようになりますか？どうすればMOR Softwareと仕事を始められますか？
MORとの作業の時の手順は何ですか?","お客様との協業を開始する際に厳密に従う7つの主な段階は以下のようになります。
1. NDAに署名する
2. 問い合わせをして要件を明確にする
3. 相談・見積り
4. 契約をする
5. プロジェクトのキックオフ
6. 成果を出す
7. メンテナンス
",,Câu hỏi và câu trả lời,
6,Hiển,EN,"Tell about MOR Software 
What is MOR Software?","MOR Software is a leading software outsourcing company in Vietnam with over 7 years of continuous innovation and enhancement of high-quality software services for both domestic and international markets. Each year, the company sets career directions and trains hundreds of young programmers, contributing to the development of the IT labor force in Vietnam.

Established on April 29, 2016, in Ho Chi Minh City with a team of just over 10 employees, MOR Software has now expanded its scale to major cities within and outside Vietnam such as Hanoi, Da Nang (Vietnam), Tokyo, Osaka (Japan) with a total personnel of more than 550 employees. 

As a leading software outsourcing company in Vietnam, we deliver cutting-edge technology to our customers with our excellent skill set in Outsourcing services, Salesforce Development, Offshore Development and Innovative Technologies Development.  

On the professional front, our software engineers have attained over 320 international certifications, including prominent IT skills such as AWS Cloud, Salesforce, Mulesoft, Professional Scrum Master, Project Management Professional, and ISTQB. Furthermore, we possess international language certifications such as IELTS, JLPT N1, and N2.

MOR Software was founded with a mission to become a pioneering technology conglomerate in Vietnam, bringing Vietnamese products to the global stage. MOR is actively building core value products, fostering trust, and ensuring customer satisfaction.Through these endeavors, MOR aims to contribute to national prosperity by creating a conducive environment for professional work, enabling comprehensive employee development, and laying the groundwork for becoming global citizens in the future.","MOR Softwareについて
MOR Softwareは何ですか?","MOR Softwareはベトナムの大手ソフトウェア アウトソーシング会社で、7 年以上継続的に革新を続け、国内外の市場向けに高品質のソフトウェア サービスを強化してきました。毎年、キャリアの方向性を定め、何百若いプログラマーをトレーニングし、ベトナムのIT労働力の発展に貢献しています。

2016年4月29日にホーチミン市に10名強の従業員チームで設立されたMOR Software社は、現在、ハノイ(ベトナム)、ダナン(ベトナム)、東京(日本)、大阪(日本) など、ベトナム国内外の主要都市に規模を拡大しています。 総従業員数は 450 名を超えます。

ベトナムの大手ソフトウェアアウトソーシング会社として、当社はアウトソーシングサービス、Salesforce開発、オフショア開発、革新的テクノロジー開発における優れたスキルセットを活用して、お客様に最先端のテクノロジーを提供しています。

専門的な面では、エンジニアはAWS Cloud, Salesforce, Mulesoft, Professional Scrum Master, Project Management Professional, and ISTQBなどのという著名なITスキルの国際認定資格を150件以上を持っています。 さらに、IELTS、JLPT N1、N2などの国際言語資格も保有しています。

MOR Softwareは、ベトナムの先駆的な技術複合企業となり、ベトナム製品を世界のステージにもたらすという使命を持って設立されました。MORは、コア価値のある製品を積極的に構築し、信頼を育み、顧客満足度を確保しています。これらの取り組みを通じて、MORは、専門的な仕事に適した環境を作り、従業員の総合的な能力開発を可能にし、将来地球市民となるための基礎を築くことにより、国家の繁栄に貢献することを目指しています。",,Câu hỏi và câu trả lời,
7,Hiển,EN,"What awards has MOR Software achieved? 
Does MOR Software have any award?","Since the establishment, MOR Software has continuously innovated and upgraded high-quality software services for both domestic and international markets, solidifying its position as one of the top software exporting companies in Vietnam. The evidence is the prestigious achievements and awards in the IT industry that MOR Software has garnered during its 7 years of strong and successful development:
- Ranked in the Top 10 Leading Information and Communication Technology (ICT) Companies in Vietnam 2021 - Impressive Growth category.
- Sao Khue Award winner in the Software Outsourcing category for four consecutive years (2020, 2021, 2022, 2023, 2024).
- Achieving ISO 9001:2015 - Quality Management System certification and ISO/IEC 27001:2013 - Information Security Technical certification are significant accomplishments for MOR Software.
- Achieving Capability Maturity Model Integration (CMMI) level 3
- Becoming a Salesforce Consulting Partner and an ISTQB Platinum Partner.
","MOR Softwareは何の賞を受けましたか?
MOR Softwareは賞がありますか？","設立以来、MOR Softwareは国内外の市場向けに高品質のソフトウェアサービスの革新とアップグレードを継続し、ベトナムのトップソフトウェア輸出会社の1としての地位を固めてきました。その証拠は、MOR Softwareが 7 年間にわたる強力かつ成功した発展の中で獲得した IT 業界での名誉ある業績と賞です。
- 2021年ベトナムの情報通信技術（ICT）大手企業トップ10 - 目覚ましい成長部門にランクイン
- ソフトウェアアウトソーシング部門でSao Khue Awardを4年連続受賞（2020年、2021年、2022年、2023年）
- ISO 9001:2015 - 品質マネジメントシステム認証および ISO/IEC 27001:2013 - 情報セキュリティ技術認証の取得は、MOR ソフトウェアにとって重要な成果です。
- Salesforce コンサルティング パートナーおよび ISTQB プラチナ パートナーになります。
",,Câu hỏi và câu trả lời,
8,Hiển,EN,"Does MOR Software have any quality commitment? 
What are the quality commitment of MOR Software?","There are 2 important criteria that we use as a standard guideline in the development process to ensure the best quality possible of the product for the customers:  
Quality Management System
- Ensure outcomes adopting international standards.
- Deliver consistent quality.
- Minimize risks by detecting problems early and preventing repetitive mistakes.
- Follow a strict procedure to optimize resources and time. 

Information security management systems
Secure people, processes and technology via three main cornerstones:
- Confidentiality: only the authorized people have the right to access information.
- Integrity: only the authorized people can change the information.
- Availability: the information must be accessible to authorized people in any case.","MOR Softwareは品質に対するこだわりを持っていますか?
MOR Softwareの品質へのこだわりは何ですか?","お客様に可能な限り最高の製品品質を保証するために、開発プロセスの標準ガイドラインとして使用する重要な基準が2つあります。
品質管理システム
- 国際基準を採用した成果を保証します。
- 安定した品質を届けます。
- 問題を早期に検出し、繰り返される間違いを防ぐことで、リスクを最小限に抑えます。
- 厳格な手順に従ってリソースと時間を最適化します。

情報セキュリティ管理体制
次の3つの主要な基盤を通じて、人材、プロセス、テクノロジーを保護します。
- 機密保持: 権限を与えられた人だけが情報にアクセスする権利を持ちます。
- 完全性: 権限を与えられた人だけが情報が変更できます。
- 可用性: いかなる場合でも、情報は権限のある人がアクセスできる必要があります。",,Câu hỏi và câu trả lời,
9,Hiển,EN,"Does MOR Software have any academic certificates? 
Do MOR Software’s developers/coders/experts have any certificates?","Yes, we do. In fact, besides experienced in using a variety of programming language such as Java, .NET, Golang, Python, HTML/CSS, our software engineers have also attained over 320 international certifications, including prominent IT skills such as AWS Cloud, Salesforce, Mulesoft, Professional Scrum Master, Project Management Professional, and ISTQB. Furthermore, we possess international language certifications such as IELTS, JLPT N1, and N2.","MOR Softwareは学歴証明書を持っていますか?
MOR Softwareの開発者/プログラマー/専門家は証明書を持っていますか?","はい、持っています。実際、Java、.NET、Golang、Python、HTML/CSSなど、さまざまなプログラミング言語の使用経験があるほか、エンジニアはAWS Cloud, Salesforce, Mulesoft, Professional Scrum Master, Project Management Professional, and ISTQBなどのという著名なITスキルの国際認定資格を150件以上を持っています。 さらに、IELTS、JLPT N1、N2などの国際言語資格も保有しています。",,Câu hỏi và câu trả lời,
10,Hiển,EN,What is MOR Software’s tech stack?,"The system of tech stack at MOR is divided into 4 main segments: 
Back-end
Our back-end developers utilize a wide range of programming language including PHP, Java, NodeJS, RoR, C#, .NET, Golang, Python.

Front-end
At the front-end, our team are experienced in developing and programming using ReactJS, VueJS, AngularJS, HTML/CSS.

Mobile
To develop mobile platform, we use popular programming framework such as Flutter, React Native, Swift/ ObjC Kotlin.

New Technology
We utilize modern tools such as Salesforce, AI, Blockchain, OutSystems and Web3 to keep the quality up to date with the latest technology. 
","MOR Softwareの技術スタックは何ですか?
","MORの技術スタックのシステムは、4 つの主要なセグメントに分かれています。
バックエンド
当社のバックエンド開発者は、PHP、Java、NodeJS、RoR、C#、.NET、Golang、Python など、幅広いプログラミング言語を利用しています。

フロントエンド
フロントエンドでは、私たちのチームは ReactJS、VueJS、AngularJS、HTML/CSS を使用した開発とプログラミングの経験があります。

モバイル
モバイル プラットフォームの開発には、Flutter、React Native、Swift/ObjC Kotlin などの一般的なプログラミング フレームワークを使用しています。

新技術
Salesforce、AI、ブロックチェーン、OutSystems、Web3 などの最新ツールを利用して、最新のテクノロジーで品質を常に最新の状態に保ちます。
",,Câu hỏi và câu trả lời,
